"Fact","Fact Note","Nevada County, Arkansas","Value Note for Nevada County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","8,004",""
"Population estimates, July 1, 2023, (V2023)","","8,120",""
"Population estimates base, April 1, 2020, (V2024)","","8,315",""
"Population estimates base, April 1, 2020, (V2023)","","8,312",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.3%",""
"Population, Census, April 1, 2020","","8,310",""
"Population, Census, April 1, 2010","","8,997",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","22.2%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","66.8%",""
"Black alone, percent (a)","(a)","30.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","5.0%",""
"White alone, not Hispanic or Latino, percent","","62.5%",""
"Veterans, 2019-2023","","601",""
"Foreign-born persons, percent, 2019-2023","","0.1%",""
"Housing Units, July 1, 2023, (V2023)","","4,319",""
"Owner-occupied housing unit rate, 2019-2023","","65.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$85,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$902",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$389",""
"Median gross rent, 2019-2023","","$841",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","3,402",""
"Persons per household, 2019-2023","","2.36",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.3%",""
"Households with a computer, percent, 2019-2023","","83.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","68.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","18.4%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","50.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","3,854",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","69,905",""
"Total retail sales, 2022 ($1,000)","(c)","155,269",""
"Total retail sales per capita, 2022","(c)","$18,984",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.8",""
"Median households income (in 2023 dollars), 2019-2023","","$41,761",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,002",""
"Persons in poverty, percent","","23.2%",""
"Total employer establishments, 2022","","121",""
"Total employment, 2022","","1,675",""
"Total annual payroll, 2022 ($1,000)","","68,982",""
"Total employment, percent change, 2021-2022","","-9.6%",""
"Total nonemployer establishments, 2022","","479",""
"All employer firms, Reference year 2022","","77",""
"Men-owned employer firms, Reference year 2022","","49",""
"Women-owned employer firms, Reference year 2022","","1",""
"Minority-owned employer firms, Reference year 2022","","1",""
"Nonminority-owned employer firms, Reference year 2022","","56",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","52",""
"Population per square mile, 2020","","13.5",""
"Population per square mile, 2010","","14.6",""
"Land area in square miles, 2020","","617.79",""
"Land area in square miles, 2010","","617.84",""
"FIPS Code","","""05099""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
